País;Categoría;año;Valor
República Centroafricana;00 COMERCIO CONFIDENCIAL;2013;
República Centroafricana;01 ANIMALES VIVOS;2013;
República Centroafricana;02 CARNE Y DESPOJOS COMESTIBLES;2013;
República Centroafricana;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
República Centroafricana;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
República Centroafricana;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
República Centroafricana;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
República Centroafricana;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
República Centroafricana;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
República Centroafricana;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;1060
República Centroafricana;10 CEREALES;2013;
República Centroafricana;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
República Centroafricana;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
República Centroafricana;13 JUGOS Y EXTRACTOS VEGETALES;2013;
República Centroafricana;14 MATERIAS TRENZABLES;2013;
República Centroafricana;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
República Centroafricana;16 CONSERVAS DE CARNE O PESCADO;2013;
República Centroafricana;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
República Centroafricana;18 CACAO Y SUS PREPARACIONES;2013;
República Centroafricana;19 PRODUC. DE CEREALES, DE PASTEL;2013;
República Centroafricana;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
República Centroafricana;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
República Centroafricana;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
República Centroafricana;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
República Centroafricana;24 TABACO Y SUS SUCEDÁNEOS;2013;
República Centroafricana;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;
República Centroafricana;26 MINERALES, ESCORIAS Y CENIZAS;2013;
República Centroafricana;27 COMBUSTIBLES, ACEITES MINERAL.;2013;
República Centroafricana;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
República Centroafricana;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;
República Centroafricana;30 PRODUCTOS FARMACÉUTICOS;2013;5172,68
República Centroafricana;31 ABONOS;2013;
República Centroafricana;32 TANINO, MATERIAS COLORANTES, P;2013;
República Centroafricana;33 ACEITES ESENCIALES, PERFUMER.;2013;
República Centroafricana;34 JABONES, LUBRICANTES, CERAS;2013;
República Centroafricana;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
República Centroafricana;36 PÓLVORAS Y EXPLOSIVOS;2013;
República Centroafricana;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
República Centroafricana;38 OTROS PRODUCTOS QUÍMICOS;2013;
República Centroafricana;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;
República Centroafricana;40 CAUCHO Y SUS MANUFACTURAS;2013;
República Centroafricana;41 PIELES (EXC. PELETER.), CUEROS;2013;
República Centroafricana;42 MANUFACT. DE CUERO, MARROQUINE;2013;
República Centroafricana;43 PELETERÍA Y SUS CONFECCIONES;2013;
República Centroafricana;44 MADERA Y SUS MANUFACTURAS;2013;569847,78
República Centroafricana;45 CORCHO Y SUS MANUFACTURAS;2013;
República Centroafricana;46 MANUFACTURAS DE CESTERÍA;2013;
República Centroafricana;47 PASTA DE MADERA, PAPEL RECICL.;2013;
República Centroafricana;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
República Centroafricana;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;
República Centroafricana;50 SEDA;2013;
República Centroafricana;51 LANA Y PELO FINO;2013;
República Centroafricana;52 ALGODÓN;2013;
República Centroafricana;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
República Centroafricana;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
República Centroafricana;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
República Centroafricana;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
República Centroafricana;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
República Centroafricana;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
República Centroafricana;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
República Centroafricana;60 TEJIDOS DE PUNTO;2013;
República Centroafricana;61 PRENDAS DE VESTIR, DE PUNTO;2013;
República Centroafricana;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
República Centroafricana;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;
República Centroafricana;64 CALZADO, SUS PARTES;2013;
República Centroafricana;65 ARTÍCULOS DE SOMBRERERÍA;2013;
República Centroafricana;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
República Centroafricana;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
República Centroafricana;68 MANUFACTURAS DE PIEDRA, YESO;2013;
República Centroafricana;69 PRODUCTOS CERÁMICOS;2013;
República Centroafricana;70 VIDRIO Y SUS MANUFACTURAS;2013;
República Centroafricana;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
República Centroafricana;72 FUNDICIÓN, HIERRO Y ACERO;2013;
República Centroafricana;73 MANUF. DE FUNDIC., HIER./ACERO;2013;
República Centroafricana;74 COBRE Y SUS MANUFACTURAS;2013;
República Centroafricana;75 NÍQUEL Y SUS MANUFACTURAS;2013;
República Centroafricana;76 ALUMINIO Y SUS MANUFACTURAS;2013;
República Centroafricana;78 PLOMO Y SUS MANUFACTURAS;2013;
República Centroafricana;79 CINC Y SUS MANUFACTURAS;2013;
República Centroafricana;80 ESTAÑO Y SUS MANUFACTURAS;2013;
República Centroafricana;81 OTROS METAL. COMUNES, CERMETS;2013;
República Centroafricana;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
República Centroafricana;83 MANUFACT. DIVERSAS DE METALES;2013;
República Centroafricana;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;
República Centroafricana;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;1831
República Centroafricana;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
República Centroafricana;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;
República Centroafricana;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
República Centroafricana;89 BARCOS Y EMBARCACIONES;2013;
República Centroafricana;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;1270
República Centroafricana;91 RELOJERÍA;2013;
República Centroafricana;92 INSTRUMENTOS MUSICALES;2013;
República Centroafricana;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
República Centroafricana;94 MUEBLES, SILLAS, LÁMPARAS;2013;
República Centroafricana;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
República Centroafricana;96 MANUFACTURAS DIVERSAS;2013;
República Centroafricana;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
República Centroafricana;98 CONJUNT. INDUST., REGL. 840/96;2013;
República Centroafricana;99 CONJUNT. DE OTROS PRODUCTOS;2013;
Libia;00 COMERCIO CONFIDENCIAL;2013;
Libia;01 ANIMALES VIVOS;2013;
Libia;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Libia;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Libia;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Libia;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Libia;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Libia;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Libia;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Libia;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Libia;10 CEREALES;2013;
Libia;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Libia;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Libia;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Libia;14 MATERIAS TRENZABLES;2013;
Libia;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Libia;16 CONSERVAS DE CARNE O PESCADO;2013;
Libia;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Libia;18 CACAO Y SUS PREPARACIONES;2013;
Libia;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Libia;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Libia;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Libia;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
Libia;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Libia;24 TABACO Y SUS SUCEDÁNEOS;2013;
Libia;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;1168,14
Libia;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Libia;27 COMBUSTIBLES, ACEITES MINERAL.;2013;1882528760
Libia;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Libia;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;11022264,61
Libia;30 PRODUCTOS FARMACÉUTICOS;2013;
Libia;31 ABONOS;2013;13872944,61
Libia;32 TANINO, MATERIAS COLORANTES, P;2013;
Libia;33 ACEITES ESENCIALES, PERFUMER.;2013;
Libia;34 JABONES, LUBRICANTES, CERAS;2013;
Libia;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Libia;36 PÓLVORAS Y EXPLOSIVOS;2013;
Libia;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Libia;38 OTROS PRODUCTOS QUÍMICOS;2013;
Libia;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;646,54
Libia;40 CAUCHO Y SUS MANUFACTURAS;2013;
Libia;41 PIELES (EXC. PELETER.), CUEROS;2013;
Libia;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Libia;43 PELETERÍA Y SUS CONFECCIONES;2013;
Libia;44 MADERA Y SUS MANUFACTURAS;2013;
Libia;45 CORCHO Y SUS MANUFACTURAS;2013;
Libia;46 MANUFACTURAS DE CESTERÍA;2013;
Libia;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Libia;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Libia;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;19747,51
Libia;50 SEDA;2013;
Libia;51 LANA Y PELO FINO;2013;
Libia;52 ALGODÓN;2013;
Libia;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Libia;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Libia;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Libia;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Libia;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Libia;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Libia;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Libia;60 TEJIDOS DE PUNTO;2013;
Libia;61 PRENDAS DE VESTIR, DE PUNTO;2013;189,07
Libia;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
Libia;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;22,38
Libia;64 CALZADO, SUS PARTES;2013;
Libia;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Libia;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Libia;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Libia;68 MANUFACTURAS DE PIEDRA, YESO;2013;
Libia;69 PRODUCTOS CERÁMICOS;2013;72,72
Libia;70 VIDRIO Y SUS MANUFACTURAS;2013;
Libia;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Libia;72 FUNDICIÓN, HIERRO Y ACERO;2013;13677959,52
Libia;73 MANUF. DE FUNDIC., HIER./ACERO;2013;142,72
Libia;74 COBRE Y SUS MANUFACTURAS;2013;1533755,25
Libia;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Libia;76 ALUMINIO Y SUS MANUFACTURAS;2013;781873,94
Libia;78 PLOMO Y SUS MANUFACTURAS;2013;1039728,58
Libia;79 CINC Y SUS MANUFACTURAS;2013;
Libia;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Libia;81 OTROS METAL. COMUNES, CERMETS;2013;180960,51
Libia;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Libia;83 MANUFACT. DIVERSAS DE METALES;2013;150,66
Libia;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;2705,85
Libia;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;298070,92
